avg_assists,avg_bonus,avg_clean_sheets,avg_goals_conceded,avg_goals_scored,avg_minutes,avg_opponent_team,avg_own_goals,avg_penalties_missed,avg_penalties_saved,avg_red_cards,avg_round,avg_saves,avg_total_points,avg_home,avg_yellow_cards,actual_points
0.0,0.6,0.2,0.6,0.4,30.8,10.4,0.0,0.0,0.0,0.0,6.0,0.0,3.4,0.4,0.0,1.0
0.0,0.6,0.2,0.6,0.4,35.0,8.6,0.0,0.0,0.0,0.0,7.0,0.0,3.4,0.4,0.0,8.0
0.4,0.6,0.2,0.8,0.4,49.6,9.2,0.0,0.0,0.0,0.0,8.0,0.0,4.8,0.4,0.0,2.0
0.4,0.6,0.4,0.8,0.4,62.6,9.4,0.0,0.0,0.0,0.0,9.0,0.0,5.0,0.6,0.0,1.0
0.4,0.6,0.4,1.0,0.4,66.6,10.6,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.6,0.0,0.0
0.4,0.0,0.2,1.0,0.0,50.8,9.0,0.0,0.0,0.0,0.0,11.0,0.0,2.4,0.6,0.0,2.0
0.0,0.0,0.2,1.0,0.0,56.0,9.2,0.0,0.0,0.0,0.0,13.0,0.0,1.4,0.4,0.0,0.0
0.0,0.0,0.0,1.0,0.0,39.0,10.4,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.4,0.0,0.0
0.0,0.0,0.0,0.6,0.0,30.0,9.4,0.0,0.0,0.0,0.0,15.0,0.0,0.8,0.4,0.0,1.0
0.0,0.0,0.0,0.6,0.0,39.0,10.6,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.4,0.0,2.0
0.0,0.0,0.0,0.4,0.0,37.4,12.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.4,0.0,0.0
0.0,0.0,0.0,0.2,0.0,31.4,9.6,0.0,0.0,0.0,0.0,19.0,0.0,0.8,0.6,0.0,0.0
0.0,0.0,0.0,0.2,0.0,31.4,9.8,0.0,0.0,0.0,0.0,20.0,0.0,0.8,0.6,0.0,2.0
0.0,0.0,0.2,0.2,0.0,35.8,7.2,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.6,0.0,1.0
0.0,0.0,0.2,0.2,0.0,28.4,4.4,0.0,0.0,0.0,0.0,22.0,0.0,0.8,0.6,0.0,0.0
0.0,0.0,0.0,0.2,0.0,9.0,12.4,0.0,0.0,0.0,0.0,26.0,0.0,0.4,0.4,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.4,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.6,0.0,6.0
0.2,0.0,0.2,0.0,0.0,14.8,13.4,0.0,0.0,0.0,0.2,6.0,0.0,1.2,0.6,0.0,0.0
0.2,0.0,0.2,0.0,0.0,14.8,12.8,0.0,0.0,0.0,0.2,7.0,0.0,1.2,0.6,0.0,1.0
0.2,0.0,0.2,0.4,0.0,32.8,10.2,0.0,0.0,0.0,0.2,8.0,0.0,1.4,0.6,0.0,2.0
0.2,0.0,0.2,0.6,0.0,50.8,10.4,0.0,0.0,0.0,0.2,9.0,0.0,1.8,0.6,0.0,1.0
0.2,0.0,0.2,1.2,0.0,68.8,11.4,0.0,0.0,0.0,0.2,10.0,0.0,2.0,0.4,0.0,1.0
0.0,0.0,0.0,1.4,0.0,72.0,12.6,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.4,0.2,0.0
0.0,0.0,0.0,1.4,0.0,72.0,9.8,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.4,0.2,1.0
0.0,0.0,0.2,1.2,0.0,72.0,8.2,0.0,0.0,0.0,0.0,14.0,0.0,1.8,0.4,0.2,7.0
0.0,0.2,0.4,0.6,0.0,72.0,6.2,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.6,0.2,2.0
0.0,0.2,0.4,0.6,0.0,72.0,7.2,0.0,0.0,0.0,0.0,16.0,0.0,3.2,0.6,0.0,2.0
0.0,0.2,0.4,0.8,0.0,90.0,8.6,0.0,0.0,0.0,0.0,17.0,0.0,3.6,0.4,0.0,1.0
0.0,0.2,0.4,0.8,0.0,90.0,9.4,0.0,0.0,0.0,0.0,19.0,0.0,3.6,0.6,0.0,2.0
0.0,0.0,0.2,1.0,0.0,90.0,10.4,0.0,0.0,0.0,0.0,20.0,0.0,2.6,0.4,0.0,0.0
0.0,0.0,0.2,1.6,0.0,90.0,9.2,0.0,0.0,0.0,0.0,21.0,0.0,2.2,0.6,0.0,1.0
0.0,0.0,0.2,1.6,0.0,90.0,10.2,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.6,0.2,1.0
0.0,0.0,0.0,1.6,0.0,81.0,14.4,0.0,0.0,0.0,0.0,24.0,0.0,1.2,0.4,0.2,1.0
0.0,0.0,0.0,1.8,0.0,81.0,12.8,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.6,0.2,1.0
0.0,0.0,0.0,1.6,0.0,81.0,11.2,0.0,0.0,0.0,0.0,26.0,0.0,1.2,0.4,0.2,1.0
0.2,0.0,0.0,2.0,0.0,81.8,7.8,0.0,0.0,0.0,0.0,28.0,0.0,2.0,0.4,0.0,0.0
0.2,0.0,0.0,1.4,0.0,45.8,6.8,0.0,0.0,0.0,0.0,30.0,0.0,1.4,0.4,0.0,0.0
0.2,0.0,0.0,0.8,0.0,27.8,9.4,0.0,0.0,0.0,0.0,31.0,0.0,1.2,0.4,0.0,1.0
0.2,0.0,0.0,0.2,0.0,15.8,9.0,0.0,0.0,0.0,0.0,32.0,0.0,1.2,0.4,0.0,1.0
0.0,0.0,0.0,0.0,0.0,11.4,10.4,0.0,0.0,0.0,0.0,33.0,0.0,0.4,0.4,0.0,6.0
0.0,0.0,0.2,0.0,0.0,29.4,13.6,0.0,0.0,0.0,0.0,34.0,0.0,1.6,0.6,0.0,0.0
0.0,0.0,0.2,1.6,0.0,81.0,11.4,0.0,0.0,0.0,0.0,29.6,0.0,2.0,0.4,0.0,1.0
0.0,0.0,0.2,2.2,0.0,90.0,9.4,0.0,0.0,0.0,0.0,16.8,0.0,2.0,0.4,0.0,9.0
0.0,0.6,0.4,1.4,0.0,90.0,11.4,0.0,0.0,0.0,0.0,10.4,0.0,3.8,0.2,0.0,1.0
0.0,0.6,0.4,1.8,0.0,90.0,14.2,0.0,0.0,0.0,0.0,4.0,0.0,3.6,0.4,0.0,6.0
0.0,0.6,0.6,1.2,0.0,90.0,14.6,0.0,0.0,0.0,0.0,5.0,0.0,4.6,0.6,0.0,2.0
0.0,0.6,0.6,0.8,0.0,90.0,12.8,0.0,0.0,0.0,0.0,6.0,0.0,4.8,0.6,0.0,0.0
0.2,0.0,0.2,0.8,0.0,63.0,9.2,0.0,0.0,0.0,0.0,8.0,0.0,2.6,0.6,0.0,0.0
0.2,0.0,0.2,1.0,0.0,63.0,7.8,0.0,0.0,0.0,0.0,9.0,0.0,2.4,0.6,0.0,1.0
0.2,0.0,0.0,1.4,0.0,63.0,8.2,0.0,0.0,0.0,0.0,10.0,0.0,1.4,0.4,0.0,2.0
0.2,0.0,0.0,2.2,0.0,81.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,1.4,0.4,0.0,5.0
0.2,0.2,0.0,2.6,0.0,90.0,11.0,0.0,0.0,0.0,0.0,13.0,0.0,1.6,0.4,0.0,5.0
0.2,0.2,0.2,1.8,0.0,90.0,10.0,0.0,0.0,0.0,0.0,14.0,0.0,2.6,0.4,0.2,6.0
0.2,0.2,0.4,1.4,0.0,90.0,6.6,0.0,0.0,0.0,0.0,15.0,0.0,3.6,0.6,0.2,8.0
0.2,0.6,0.6,1.2,0.0,90.0,7.8,0.0,0.0,0.0,0.0,16.0,0.0,4.8,0.4,0.2,1.0
0.2,0.4,0.6,1.2,0.0,90.0,7.2,0.0,0.0,0.0,0.0,18.0,0.0,4.6,0.6,0.4,7.0
0.4,0.4,0.0,1.6,0.0,69.0,11.8,0.0,0.0,0.0,0.0,21.2,0.0,2.4,0.4,0.4,2.0
0.4,0.4,0.0,1.2,0.0,69.0,9.6,0.0,0.0,0.0,0.0,22.2,0.0,2.6,0.4,0.4,2.0
0.2,0.4,0.0,0.8,0.0,69.0,10.4,0.0,0.0,0.0,0.0,23.2,0.0,2.4,0.6,0.2,0.0
0.2,0.4,0.2,1.8,0.0,90.0,7.8,0.0,0.0,0.0,0.0,26.0,0.0,3.0,0.6,0.2,3.0
0.4,0.4,0.2,2.8,0.0,90.0,10.2,0.0,0.0,0.0,0.0,28.0,0.0,2.8,0.4,0.4,6.0
0.4,0.4,0.4,2.2,0.0,90.0,12.4,0.0,0.0,0.0,0.0,29.2,0.0,4.0,0.6,0.2,2.0
0.2,0.0,0.2,2.4,0.0,84.6,9.8,0.0,0.0,0.0,0.0,30.4,0.0,2.2,0.4,0.2,4.0
0.2,0.0,0.2,1.8,0.0,84.6,7.8,0.0,0.0,0.0,0.0,32.8,0.0,2.4,0.6,0.4,6.0
0.2,0.0,0.2,2.0,0.2,84.6,8.2,0.0,0.0,0.0,0.0,35.0,0.0,3.4,0.4,0.4,6.0
