avg_assists,avg_bonus,avg_bps,avg_clean_sheets,avg_creativity,avg_goals_conceded,avg_goals_scored,avg_ict_index,avg_influence,avg_minutes,avg_opponent_team,avg_own_goals,avg_penalties_missed,avg_penalties_saved,avg_red_cards,avg_saves,avg_threat,avg_total_points,avg_value,was_home,avg_yellow_cards,position,actual_points,actual_minutes
0.0,0.0,9.0,0.0,2.8600000000000003,1.4,0.0,1.2799999999999998,7.639999999999999,72.0,9.8,0.0,0.0,0.0,0.0,0.0,2.4,1.0,53.0,0.0,0.2,2.0,1.0,90
0.0,0.0,9.0,0.0,2.42,1.4,0.0,1.6799999999999997,11.879999999999999,72.0,10.4,0.0,0.0,0.0,0.0,0.0,2.6,1.0,53.0,1.0,0.2,2.0,6.0,90
0.0,0.0,9.8,0.2,3.4799999999999995,1.2,0.0,1.9400000000000002,10.639999999999999,72.0,8.2,0.0,0.0,0.0,0.0,0.0,5.4,1.8,53.0,1.0,0.2,2.0,7.0,90
0.0,0.2,12.6,0.4,3.28,0.6,0.0,2.0200000000000005,10.4,72.0,6.2,0.0,0.0,0.0,0.0,0.0,6.6,3.0,53.0,0.0,0.2,2.0,2.0,90
0.0,0.2,13.6,0.4,5.279999999999999,0.6,0.0,2.3,12.52,72.0,7.2,0.0,0.0,0.0,0.0,0.0,5.4,3.2,53.0,0.0,0.0,2.0,2.0,90
0.0,0.2,18.0,0.4,16.08,0.8,0.0,3.8200000000000003,14.0,90.0,9.0,0.0,0.0,0.0,0.0,0.0,8.2,3.6,53.0,1.0,0.0,2.0,6.0,90
0.0,0.0,15.0,0.2,20.7,1.6,0.0,3.7,11.440000000000001,90.0,9.2,0.0,0.0,0.0,0.0,0.0,5.0,2.2,53.0,0.0,0.0,2.0,1.0,90
0.0,0.0,11.2,0.2,10.36,1.6,0.0,2.46,8.879999999999999,90.0,10.2,0.0,0.0,0.0,0.0,0.0,5.4,2.0,53.0,1.0,0.2,2.0,1.0,45
0.0,0.0,7.8,0.0,10.86,1.6,0.0,2.56,8.76,81.0,14.4,0.0,0.0,0.0,0.0,0.0,6.0,1.2,52.6,1.0,0.2,2.0,1.0,90
0.0,0.0,7.6,0.0,6.26,1.8,0.0,2.42,9.4,81.0,12.8,0.0,0.0,0.0,0.0,0.0,8.4,1.0,52.4,0.0,0.2,2.0,1.0,90
0.0,0.0,9.4,0.0,7.56,1.6,0.0,2.6599999999999997,10.84,81.0,11.2,0.0,0.0,0.0,0.0,0.0,8.0,1.2,52.2,1.0,0.2,2.0,1.0,72
0.0,0.0,10.0,0.0,9.42,2.0,0.0,2.4799999999999995,10.639999999999999,77.4,10.2,0.0,0.0,0.0,0.0,0.0,4.6,1.2,52.0,0.0,0.0,2.0,5.0,67
0.2,0.0,10.6,0.0,9.059999999999999,1.8,0.0,2.5599999999999996,12.48,63.8,4.4,0.0,0.0,0.0,0.0,0.0,4.0,1.6,52.0,1.0,0.0,2.0,0.0,0
0.2,0.0,7.4,0.0,8.3,1.4,0.0,1.7399999999999998,8.72,45.8,6.8,0.0,0.0,0.0,0.0,0.0,0.4,1.4,52.0,0.0,0.0,2.0,0.0,0
0.0,0.0,2.4,0.0,2.9200000000000004,0.0,0.0,0.6,3.04,11.4,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,51.4,1.0,0.0,2.0,6.0,90
0.0,0.0,6.4,0.2,3.9800000000000004,0.0,0.0,1.06,5.8,29.4,13.6,0.0,0.0,0.0,0.0,0.0,0.8,1.6,51.2,1.0,0.0,2.0,0.0,90
0.0,0.0,9.0,0.2,4.28,0.8,0.0,1.22,7.119999999999999,47.4,12.2,0.0,0.0,0.0,0.0,0.0,0.8,1.6,51.0,0.0,0.0,2.0,2.0,90
0.0,0.0,10.4,0.2,9.52,1.0,0.0,2.06,8.959999999999999,65.4,9.8,0.0,0.0,0.0,0.0,0.0,2.2,2.0,51.0,0.0,0.0,2.0,0.0,9
0.0,0.0,10.4,0.2,9.580000000000002,1.4,0.0,2.44,9.040000000000001,64.8,11.0,0.0,0.0,0.0,0.0,0.0,5.8,1.8,50.8,0.0,0.0,2.0,1.0,90
0.0,0.0,11.8,0.2,17.3,2.0,0.0,3.3200000000000003,10.24,73.8,11.0,0.0,0.0,0.0,0.0,0.0,5.8,1.8,50.6,0.0,0.0,2.0,1.0,90
0.0,0.0,10.0,0.0,16.56,2.6,0.0,3.3400000000000007,9.72,73.8,10.2,0.0,0.0,0.0,0.0,0.0,7.2,0.8,50.4,1.0,0.0,2.0,6.0,90
0.0,0.0,12.0,0.2,25.679999999999996,1.8,0.0,4.42,11.239999999999998,73.8,10.0,0.0,0.0,0.0,0.0,0.0,7.4,2.0,50.2,0.0,0.0,2.0,9.0,90
0.0,0.6,16.6,0.4,27.3,1.6,0.0,4.5,11.639999999999999,73.8,13.2,0.0,0.0,0.0,0.0,0.0,6.0,3.4,50.0,1.0,0.0,2.0,1.0,90
0.0,0.6,17.0,0.4,30.04,1.8,0.0,4.68,13.84,90.0,14.2,0.0,0.0,0.0,0.0,0.0,2.8,3.6,50.0,1.0,0.0,2.0,6.0,90
0.0,0.6,19.2,0.6,26.22,1.2,0.0,4.34,14.160000000000002,90.0,14.6,0.0,0.0,0.0,0.0,0.0,2.8,4.6,50.0,0.0,0.0,2.0,2.0,90
0.2,0.0,11.6,0.2,9.62,1.0,0.0,2.32,13.080000000000002,63.0,7.8,0.0,0.0,0.0,0.0,0.0,0.4,2.4,50.0,0.0,0.0,2.0,1.0,90
0.2,0.0,8.2,0.0,3.1399999999999997,1.4,0.0,1.34,9.44,63.0,8.2,0.0,0.0,0.0,0.0,0.0,0.8,1.4,50.0,1.0,0.0,2.0,2.0,90
